### DETECTION RATE IS:       0.47844827
### NO. DET MALICIOUS USERS: 111
### NO. ALL MALICIOUS USERS: 232
### 
### FALSE POSITIVE RATE IS:           0.0014534884
### FALSE POSITIVES (WORST CASE)      0.0014534884
### NO. WRONGLY DET USERS             1
### NO. WRONGLY DET USERS (WORST CASE)1
### NO. BENIGN USERS:                 688
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 38 - 0.81
12 - 48 - 0.76
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 42 - 0.79
18 - 46 - 0.77
19 - 49 - 0.755
20 - 49 - 0.755
21 - 35 - 0.825
22 - 48 - 0.76
23 - 63 - 0.685
24 - 69 - 0.655
25 - 71 - 0.645
26 - 53 - 0.735
27 - 39 - 0.805
28 - 53 - 0.735
29 - 66 - 0.67
30 - 86 - 0.57
31 - 85 - 0.575
32 - 62 - 0.69
33 - 57 - 0.715
34 - 39 - 0.805
35 - 33 - 0.835
36 - 55 - 0.725
37 - 40 - 0.8
38 - 56 - 0.72
39 - 70 - 0.65
40 - 61 - 0.695
41 - 50 - 0.75
42 - 58 - 0.71
43 - 65 - 0.675
44 - 61 - 0.695
45 - 60 - 0.7
46 - 68 - 0.66
47 - 59 - 0.705
48 - 85 - 0.575
49 - 78 - 0.61
50 - 107 - 0.465
51 - 92 - 0.54
52 - 67 - 0.665
53 - 54 - 0.73
54 - 71 - 0.645
55 - 50 - 0.75
56 - 29 - 0.855
57 - 55 - 0.725
58 - 54 - 0.73
59 - 59 - 0.705
60 - 64 - 0.68
