### DETECTION RATE IS:       0.99559474
### NO. DET MALICIOUS USERS: 226
### NO. ALL MALICIOUS USERS: 227
### 
### FALSE POSITIVE RATE IS:           0.035812672
### FALSE POSITIVES (WORST CASE)      0.005509642
### NO. WRONGLY DET USERS             26
### NO. WRONGLY DET USERS (WORST CASE)4
### NO. BENIGN USERS:                 726
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 35 - 0.825
12 - 45 - 0.775
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 41 - 0.795
18 - 44 - 0.78
19 - 44 - 0.78
20 - 45 - 0.775
21 - 30 - 0.85
22 - 42 - 0.79
23 - 59 - 0.705
24 - 62 - 0.69
25 - 76 - 0.62
26 - 36 - 0.82
27 - 29 - 0.855
28 - 58 - 0.71
29 - 58 - 0.71
30 - 73 - 0.635
31 - 87 - 0.565
32 - 73 - 0.635
33 - 57 - 0.715
34 - 47 - 0.765
35 - 18 - 0.91
36 - 19 - 0.905
37 - 23 - 0.885
38 - 29 - 0.855
39 - 45 - 0.775
40 - 29 - 0.855
41 - 29 - 0.855
42 - 30 - 0.85
43 - 35 - 0.825
44 - 21 - 0.895
45 - 13 - 0.935
46 - 28 - 0.86
47 - 40 - 0.8
48 - 35 - 0.825
49 - 9 - 0.955
50 - 21 - 0.895
51 - 36 - 0.82
52 - 32 - 0.84
53 - 28 - 0.86
54 - 42 - 0.79
55 - 23 - 0.885
56 - 8 - 0.96
57 - 14 - 0.93
58 - 19 - 0.905
59 - 15 - 0.925
60 - 26 - 0.87
