### DETECTION RATE IS:       0.76495725
### NO. DET MALICIOUS USERS: 179
### NO. ALL MALICIOUS USERS: 234
### 
### FALSE POSITIVE RATE IS:           0.0014513788
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             1
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 689
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 38 - 0.81
12 - 48 - 0.76
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 42 - 0.79
18 - 46 - 0.77
19 - 49 - 0.755
20 - 49 - 0.755
21 - 35 - 0.825
22 - 46 - 0.77
23 - 61 - 0.695
24 - 67 - 0.665
25 - 68 - 0.66
26 - 50 - 0.75
27 - 39 - 0.805
28 - 53 - 0.735
29 - 66 - 0.67
30 - 86 - 0.57
31 - 85 - 0.575
32 - 64 - 0.68
33 - 54 - 0.73
34 - 35 - 0.825
35 - 27 - 0.865
36 - 50 - 0.75
37 - 37 - 0.815
38 - 53 - 0.735
39 - 61 - 0.695
40 - 57 - 0.715
41 - 48 - 0.76
42 - 57 - 0.715
43 - 55 - 0.725
44 - 63 - 0.685
45 - 67 - 0.665
46 - 62 - 0.69
47 - 70 - 0.65
48 - 66 - 0.67
49 - 49 - 0.755
50 - 80 - 0.6
51 - 63 - 0.685
52 - 58 - 0.71
53 - 51 - 0.745
54 - 56 - 0.72
55 - 62 - 0.69
56 - 52 - 0.74
57 - 41 - 0.795
58 - 24 - 0.88
59 - 28 - 0.86
60 - 33 - 0.835
