### DETECTION RATE IS:       0.14718615
### NO. DET MALICIOUS USERS: 34
### NO. ALL MALICIOUS USERS: 231
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 696
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 38 - 0.81
12 - 48 - 0.76
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 42 - 0.79
18 - 46 - 0.77
19 - 49 - 0.755
20 - 49 - 0.755
21 - 35 - 0.825
22 - 48 - 0.76
23 - 63 - 0.685
24 - 69 - 0.655
25 - 71 - 0.645
26 - 53 - 0.735
27 - 39 - 0.805
28 - 53 - 0.735
29 - 66 - 0.67
30 - 86 - 0.57
31 - 85 - 0.575
32 - 62 - 0.69
33 - 57 - 0.715
34 - 39 - 0.805
35 - 33 - 0.835
36 - 55 - 0.725
37 - 40 - 0.8
38 - 52 - 0.74
39 - 72 - 0.64
40 - 59 - 0.705
41 - 45 - 0.775
42 - 60 - 0.7
43 - 59 - 0.705
44 - 74 - 0.63
45 - 83 - 0.585
46 - 76 - 0.62
47 - 77 - 0.615
48 - 81 - 0.595
49 - 55 - 0.725
50 - 75 - 0.625
51 - 79 - 0.605
52 - 62 - 0.69
53 - 51 - 0.745
54 - 66 - 0.67
55 - 45 - 0.775
56 - 44 - 0.78
57 - 71 - 0.645
58 - 45 - 0.775
59 - 49 - 0.755
60 - 52 - 0.74
