### DETECTION RATE IS:       1.0
### NO. DET MALICIOUS USERS: 266
### NO. ALL MALICIOUS USERS: 266
### 
### FALSE POSITIVE RATE IS:           0.032355916
### FALSE POSITIVES (WORST CASE)      0.0035389282
### NO. WRONGLY DET USERS             64
### NO. WRONGLY DET USERS (WORST CASE)7
### NO. BENIGN USERS:                 1978
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 42 - 0.79
31 - 32 - 0.84
32 - 18 - 0.91
33 - 16 - 0.92
34 - 20 - 0.9
35 - 28 - 0.86
36 - 25 - 0.875
37 - 21 - 0.895
38 - 19 - 0.905
39 - 14 - 0.93
40 - 26 - 0.87
41 - 19 - 0.905
42 - 35 - 0.825
43 - 33 - 0.835
44 - 36 - 0.82
45 - 31 - 0.845
46 - 27 - 0.865
47 - 31 - 0.845
48 - 20 - 0.9
49 - 17 - 0.915
50 - 20 - 0.9
51 - 12 - 0.94
52 - 19 - 0.905
53 - 21 - 0.895
54 - 13 - 0.935
55 - 27 - 0.865
56 - 35 - 0.825
57 - 27 - 0.865
58 - 28 - 0.86
59 - 25 - 0.875
60 - 27 - 0.865
61 - 38 - 0.81
62 - 39 - 0.805
63 - 36 - 0.82
64 - 20 - 0.9
65 - 25 - 0.875
66 - 19 - 0.905
67 - 24 - 0.88
68 - 40 - 0.8
69 - 33 - 0.835
70 - 31 - 0.845
71 - 33 - 0.835
72 - 30 - 0.85
73 - 23 - 0.885
74 - 22 - 0.89
75 - 17 - 0.915
76 - 20 - 0.9
77 - 24 - 0.88
78 - 27 - 0.865
79 - 14 - 0.93
80 - 22 - 0.89
81 - 16 - 0.92
82 - 12 - 0.94
83 - 12 - 0.94
84 - 26 - 0.87
85 - 20 - 0.9
86 - 12 - 0.94
87 - 11 - 0.945
88 - 18 - 0.91
89 - 12 - 0.94
90 - 18 - 0.91
91 - 17 - 0.915
92 - 31 - 0.845
93 - 19 - 0.905
94 - 14 - 0.93
95 - 10 - 0.95
96 - 12 - 0.94
97 - 10 - 0.95
98 - 16 - 0.92
99 - 23 - 0.885
100 - 16 - 0.92
101 - 12 - 0.94
102 - 14 - 0.93
103 - 7 - 0.965
104 - 5 - 0.975
105 - 16 - 0.92
106 - 14 - 0.93
107 - 20 - 0.9
108 - 14 - 0.93
109 - 21 - 0.895
110 - 4 - 0.98
111 - 6 - 0.97
112 - 16 - 0.92
113 - 10 - 0.95
114 - 12 - 0.94
115 - 11 - 0.945
116 - 9 - 0.955
117 - 18 - 0.91
118 - 21 - 0.895
119 - 17 - 0.915
120 - 7 - 0.965
121 - 21 - 0.895
122 - 13 - 0.935
123 - 15 - 0.925
124 - 11 - 0.945
125 - 5 - 0.975
126 - 5 - 0.975
127 - 21 - 0.895
128 - 10 - 0.95
129 - 12 - 0.94
130 - 4 - 0.98
131 - 9 - 0.955
132 - 8 - 0.96
133 - 4 - 0.98
134 - 8 - 0.96
135 - 0 - 1.0
136 - 0 - 1.0
137 - 1 - 0.995
138 - 0 - 1.0
139 - 4 - 0.98
140 - 13 - 0.935
141 - 5 - 0.975
142 - 4 - 0.98
143 - 10 - 0.95
144 - 1 - 0.995
145 - 0 - 1.0
146 - 0 - 1.0
147 - 1 - 0.995
148 - 12 - 0.94
149 - 1 - 0.995
150 - 12 - 0.94
151 - 8 - 0.96
152 - 6 - 0.97
153 - 9 - 0.955
154 - 1 - 0.995
155 - 4 - 0.98
156 - 4 - 0.98
157 - 0 - 1.0
158 - 4 - 0.98
159 - 4 - 0.98
160 - 12 - 0.94
161 - 19 - 0.905
162 - 20 - 0.9
163 - 3 - 0.985
164 - 8 - 0.96
165 - 4 - 0.98
166 - 5 - 0.975
167 - 4 - 0.98
168 - 4 - 0.98
169 - 4 - 0.98
170 - 0 - 1.0
171 - 5 - 0.975
172 - 4 - 0.98
173 - 1 - 0.995
174 - 6 - 0.97
175 - 5 - 0.975
176 - 0 - 1.0
177 - 11 - 0.945
178 - 5 - 0.975
179 - 8 - 0.96
180 - 15 - 0.925
