### DETECTION RATE IS:       0.8523985
### NO. DET MALICIOUS USERS: 231
### NO. ALL MALICIOUS USERS: 271
### 
### FALSE POSITIVE RATE IS:           0.018036073
### FALSE POSITIVES (WORST CASE)      0.001002004
### NO. WRONGLY DET USERS             36
### NO. WRONGLY DET USERS (WORST CASE)2
### NO. BENIGN USERS:                 1996
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 44 - 0.78
31 - 35 - 0.825
32 - 17 - 0.915
33 - 23 - 0.885
34 - 25 - 0.875
35 - 25 - 0.875
36 - 23 - 0.885
37 - 30 - 0.85
38 - 26 - 0.87
39 - 16 - 0.92
40 - 27 - 0.865
41 - 17 - 0.915
42 - 37 - 0.815
43 - 43 - 0.785
44 - 43 - 0.785
45 - 28 - 0.86
46 - 23 - 0.885
47 - 30 - 0.85
48 - 34 - 0.83
49 - 30 - 0.85
50 - 41 - 0.795
51 - 31 - 0.845
52 - 22 - 0.89
53 - 21 - 0.895
54 - 21 - 0.895
55 - 37 - 0.815
56 - 33 - 0.835
57 - 36 - 0.82
58 - 28 - 0.86
59 - 41 - 0.795
60 - 35 - 0.825
61 - 46 - 0.77
62 - 49 - 0.755
63 - 47 - 0.765
64 - 32 - 0.84
65 - 38 - 0.81
66 - 44 - 0.78
67 - 35 - 0.825
68 - 41 - 0.795
69 - 34 - 0.83
70 - 34 - 0.83
71 - 35 - 0.825
72 - 20 - 0.9
73 - 25 - 0.875
74 - 33 - 0.835
75 - 56 - 0.72
76 - 40 - 0.8
77 - 32 - 0.84
78 - 26 - 0.87
79 - 33 - 0.835
80 - 31 - 0.845
81 - 29 - 0.855
82 - 41 - 0.795
83 - 45 - 0.775
84 - 37 - 0.815
85 - 38 - 0.81
86 - 32 - 0.84
87 - 45 - 0.775
88 - 45 - 0.775
89 - 39 - 0.805
90 - 55 - 0.725
91 - 42 - 0.79
92 - 27 - 0.865
93 - 12 - 0.94
94 - 16 - 0.92
95 - 12 - 0.94
96 - 30 - 0.85
97 - 20 - 0.9
98 - 20 - 0.9
99 - 29 - 0.855
100 - 28 - 0.86
101 - 19 - 0.905
102 - 11 - 0.945
103 - 25 - 0.875
104 - 32 - 0.84
105 - 24 - 0.88
106 - 34 - 0.83
107 - 29 - 0.855
108 - 17 - 0.915
109 - 15 - 0.925
110 - 33 - 0.835
111 - 30 - 0.85
112 - 24 - 0.88
113 - 30 - 0.85
114 - 46 - 0.77
115 - 40 - 0.8
116 - 30 - 0.85
117 - 9 - 0.955
118 - 37 - 0.815
119 - 29 - 0.855
120 - 33 - 0.835
121 - 43 - 0.785
122 - 58 - 0.71
123 - 41 - 0.795
124 - 31 - 0.845
125 - 28 - 0.86
126 - 16 - 0.92
127 - 20 - 0.9
128 - 32 - 0.84
129 - 11 - 0.945
130 - 13 - 0.935
131 - 14 - 0.93
132 - 18 - 0.91
133 - 14 - 0.93
134 - 21 - 0.895
135 - 19 - 0.905
136 - 25 - 0.875
137 - 15 - 0.925
138 - 11 - 0.945
139 - 16 - 0.92
140 - 19 - 0.905
141 - 10 - 0.95
142 - 19 - 0.905
143 - 11 - 0.945
144 - 13 - 0.935
145 - 17 - 0.915
146 - 19 - 0.905
147 - 8 - 0.96
148 - 9 - 0.955
149 - 13 - 0.935
150 - 28 - 0.86
151 - 9 - 0.955
152 - 6 - 0.97
153 - 9 - 0.955
154 - 17 - 0.915
155 - 23 - 0.885
156 - 9 - 0.955
157 - 4 - 0.98
158 - 4 - 0.98
159 - 10 - 0.95
160 - 17 - 0.915
161 - 41 - 0.795
162 - 27 - 0.865
163 - 14 - 0.93
164 - 18 - 0.91
165 - 11 - 0.945
166 - 4 - 0.98
167 - 8 - 0.96
168 - 6 - 0.97
169 - 12 - 0.94
170 - 17 - 0.915
171 - 21 - 0.895
172 - 19 - 0.905
173 - 25 - 0.875
174 - 20 - 0.9
175 - 19 - 0.905
176 - 13 - 0.935
177 - 13 - 0.935
178 - 15 - 0.925
179 - 16 - 0.92
180 - 12 - 0.94
