### DETECTION RATE IS:       0.9810606
### NO. DET MALICIOUS USERS: 259
### NO. ALL MALICIOUS USERS: 264
### 
### FALSE POSITIVE RATE IS:           0.021073759
### FALSE POSITIVES (WORST CASE)      0.004014049
### NO. WRONGLY DET USERS             42
### NO. WRONGLY DET USERS (WORST CASE)8
### NO. BENIGN USERS:                 1993
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 44 - 0.78
31 - 35 - 0.825
32 - 17 - 0.915
33 - 25 - 0.875
34 - 27 - 0.865
35 - 22 - 0.89
36 - 21 - 0.895
37 - 29 - 0.855
38 - 22 - 0.89
39 - 19 - 0.905
40 - 28 - 0.86
41 - 21 - 0.895
42 - 25 - 0.875
43 - 33 - 0.835
44 - 36 - 0.82
45 - 29 - 0.855
46 - 26 - 0.87
47 - 16 - 0.92
48 - 18 - 0.91
49 - 16 - 0.92
50 - 25 - 0.875
51 - 8 - 0.96
52 - 29 - 0.855
53 - 31 - 0.845
54 - 25 - 0.875
55 - 24 - 0.88
56 - 23 - 0.885
57 - 20 - 0.9
58 - 6 - 0.97
59 - 19 - 0.905
60 - 38 - 0.81
61 - 34 - 0.83
62 - 40 - 0.8
63 - 47 - 0.765
64 - 36 - 0.82
65 - 24 - 0.88
66 - 25 - 0.875
67 - 24 - 0.88
68 - 34 - 0.83
69 - 30 - 0.85
70 - 28 - 0.86
71 - 22 - 0.89
72 - 24 - 0.88
73 - 23 - 0.885
74 - 27 - 0.865
75 - 38 - 0.81
76 - 36 - 0.82
77 - 34 - 0.83
78 - 29 - 0.855
79 - 21 - 0.895
80 - 18 - 0.91
81 - 36 - 0.82
82 - 29 - 0.855
83 - 17 - 0.915
84 - 33 - 0.835
85 - 30 - 0.85
86 - 15 - 0.925
87 - 9 - 0.955
88 - 23 - 0.885
89 - 35 - 0.825
90 - 28 - 0.86
91 - 9 - 0.955
92 - 18 - 0.91
93 - 24 - 0.88
94 - 27 - 0.865
95 - 27 - 0.865
96 - 27 - 0.865
97 - 10 - 0.95
98 - 23 - 0.885
99 - 12 - 0.94
100 - 19 - 0.905
101 - 25 - 0.875
102 - 13 - 0.935
103 - 29 - 0.855
104 - 17 - 0.915
105 - 27 - 0.865
106 - 24 - 0.88
107 - 20 - 0.9
108 - 22 - 0.89
109 - 8 - 0.96
110 - 8 - 0.96
111 - 19 - 0.905
112 - 13 - 0.935
113 - 27 - 0.865
114 - 20 - 0.9
115 - 18 - 0.91
116 - 13 - 0.935
117 - 13 - 0.935
118 - 7 - 0.965
119 - 12 - 0.94
120 - 11 - 0.945
121 - 11 - 0.945
122 - 20 - 0.9
123 - 8 - 0.96
124 - 10 - 0.95
125 - 18 - 0.91
126 - 24 - 0.88
127 - 22 - 0.89
128 - 10 - 0.95
129 - 12 - 0.94
130 - 19 - 0.905
131 - 7 - 0.965
132 - 6 - 0.97
133 - 11 - 0.945
134 - 25 - 0.875
135 - 27 - 0.865
136 - 27 - 0.865
137 - 6 - 0.97
138 - 12 - 0.94
139 - 25 - 0.875
140 - 21 - 0.895
141 - 16 - 0.92
142 - 16 - 0.92
143 - 14 - 0.93
144 - 8 - 0.96
145 - 3 - 0.985
146 - 13 - 0.935
147 - 27 - 0.865
148 - 24 - 0.88
149 - 15 - 0.925
150 - 12 - 0.94
151 - 10 - 0.95
152 - 11 - 0.945
153 - 12 - 0.94
154 - 12 - 0.94
155 - 26 - 0.87
156 - 20 - 0.9
157 - 3 - 0.985
158 - 12 - 0.94
159 - 15 - 0.925
160 - 11 - 0.945
161 - 5 - 0.975
162 - 16 - 0.92
163 - 11 - 0.945
164 - 4 - 0.98
165 - 12 - 0.94
166 - 5 - 0.975
167 - 5 - 0.975
168 - 7 - 0.965
169 - 4 - 0.98
170 - 19 - 0.905
171 - 25 - 0.875
172 - 15 - 0.925
173 - 3 - 0.985
174 - 2 - 0.99
175 - 9 - 0.955
176 - 5 - 0.975
177 - 12 - 0.94
178 - 10 - 0.95
179 - 8 - 0.96
180 - 12 - 0.94
