### DETECTION RATE IS:       1.0
### NO. DET MALICIOUS USERS: 275
### NO. ALL MALICIOUS USERS: 275
### 
### FALSE POSITIVE RATE IS:           0.037707392
### FALSE POSITIVES (WORST CASE)      0.0015082957
### NO. WRONGLY DET USERS             75
### NO. WRONGLY DET USERS (WORST CASE)3
### NO. BENIGN USERS:                 1989
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 59 - 0.705
30 - 51 - 0.745
31 - 45 - 0.775
32 - 12 - 0.94
33 - 18 - 0.91
34 - 24 - 0.88
35 - 20 - 0.9
36 - 20 - 0.9
37 - 25 - 0.875
38 - 17 - 0.915
39 - 14 - 0.93
40 - 24 - 0.88
41 - 11 - 0.945
42 - 21 - 0.895
43 - 31 - 0.845
44 - 34 - 0.83
45 - 23 - 0.885
46 - 24 - 0.88
47 - 21 - 0.895
48 - 18 - 0.91
49 - 21 - 0.895
50 - 20 - 0.9
51 - 19 - 0.905
52 - 25 - 0.875
53 - 25 - 0.875
54 - 23 - 0.885
55 - 33 - 0.835
56 - 41 - 0.795
57 - 19 - 0.905
58 - 20 - 0.9
59 - 18 - 0.91
60 - 14 - 0.93
61 - 26 - 0.87
62 - 24 - 0.88
63 - 31 - 0.845
64 - 32 - 0.84
65 - 22 - 0.89
66 - 21 - 0.895
67 - 31 - 0.845
68 - 32 - 0.84
69 - 30 - 0.85
70 - 16 - 0.92
71 - 12 - 0.94
72 - 10 - 0.95
73 - 24 - 0.88
74 - 25 - 0.875
75 - 33 - 0.835
76 - 31 - 0.845
77 - 19 - 0.905
78 - 21 - 0.895
79 - 19 - 0.905
80 - 23 - 0.885
81 - 22 - 0.89
82 - 20 - 0.9
83 - 6 - 0.97
84 - 8 - 0.96
85 - 9 - 0.955
86 - 16 - 0.92
87 - 17 - 0.915
88 - 22 - 0.89
89 - 25 - 0.875
90 - 30 - 0.85
91 - 8 - 0.96
92 - 15 - 0.925
93 - 15 - 0.925
94 - 26 - 0.87
95 - 9 - 0.955
96 - 22 - 0.89
97 - 4 - 0.98
98 - 7 - 0.965
99 - 10 - 0.95
100 - 19 - 0.905
101 - 24 - 0.88
102 - 15 - 0.925
103 - 19 - 0.905
104 - 8 - 0.96
105 - 8 - 0.96
106 - 8 - 0.96
107 - 4 - 0.98
108 - 3 - 0.985
109 - 9 - 0.955
110 - 19 - 0.905
111 - 9 - 0.955
112 - 13 - 0.935
113 - 10 - 0.95
114 - 20 - 0.9
115 - 9 - 0.955
116 - 11 - 0.945
117 - 13 - 0.935
118 - 5 - 0.975
119 - 8 - 0.96
120 - 13 - 0.935
121 - 8 - 0.96
122 - 15 - 0.925
123 - 10 - 0.95
124 - 10 - 0.95
125 - 14 - 0.93
126 - 15 - 0.925
127 - 16 - 0.92
128 - 13 - 0.935
129 - 4 - 0.98
130 - 10 - 0.95
131 - 17 - 0.915
132 - 8 - 0.96
133 - 17 - 0.915
134 - 12 - 0.94
135 - 4 - 0.98
136 - 13 - 0.935
137 - 5 - 0.975
138 - 5 - 0.975
139 - 3 - 0.985
140 - 5 - 0.975
141 - 25 - 0.875
142 - 4 - 0.98
143 - 2 - 0.99
144 - 7 - 0.965
145 - 6 - 0.97
146 - 0 - 1.0
147 - 1 - 0.995
148 - 5 - 0.975
149 - 1 - 0.995
150 - 4 - 0.98
151 - 4 - 0.98
152 - 8 - 0.96
153 - 0 - 1.0
154 - 9 - 0.955
155 - 4 - 0.98
156 - 3 - 0.985
157 - 10 - 0.95
158 - 1 - 0.995
159 - 0 - 1.0
160 - 5 - 0.975
161 - 1 - 0.995
162 - 0 - 1.0
163 - 6 - 0.97
164 - 12 - 0.94
165 - 8 - 0.96
166 - 2 - 0.99
167 - 7 - 0.965
168 - 3 - 0.985
169 - 0 - 1.0
170 - 2 - 0.99
171 - 19 - 0.905
172 - 3 - 0.985
173 - 1 - 0.995
174 - 0 - 1.0
175 - 0 - 1.0
176 - 17 - 0.915
177 - 11 - 0.945
178 - 9 - 0.955
179 - 0 - 1.0
180 - 4 - 0.98
