### DETECTION RATE IS:       0.35424355
### NO. DET MALICIOUS USERS: 96
### NO. ALL MALICIOUS USERS: 271
### 
### FALSE POSITIVE RATE IS:           0.0060975607
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             12
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1968
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 44 - 0.78
31 - 34 - 0.83
32 - 16 - 0.92
33 - 24 - 0.88
34 - 26 - 0.87
35 - 26 - 0.87
36 - 23 - 0.885
37 - 29 - 0.855
38 - 25 - 0.875
39 - 17 - 0.915
40 - 26 - 0.87
41 - 18 - 0.91
42 - 39 - 0.805
43 - 40 - 0.8
44 - 47 - 0.765
45 - 34 - 0.83
46 - 21 - 0.895
47 - 29 - 0.855
48 - 42 - 0.79
49 - 40 - 0.8
50 - 46 - 0.77
51 - 31 - 0.845
52 - 26 - 0.87
53 - 22 - 0.89
54 - 30 - 0.85
55 - 39 - 0.805
56 - 28 - 0.86
57 - 28 - 0.86
58 - 29 - 0.855
59 - 35 - 0.825
60 - 41 - 0.795
61 - 36 - 0.82
62 - 43 - 0.785
63 - 46 - 0.77
64 - 40 - 0.8
65 - 37 - 0.815
66 - 38 - 0.81
67 - 19 - 0.905
68 - 36 - 0.82
69 - 22 - 0.89
70 - 20 - 0.9
71 - 35 - 0.825
72 - 43 - 0.785
73 - 34 - 0.83
74 - 41 - 0.795
75 - 42 - 0.79
76 - 38 - 0.81
77 - 37 - 0.815
78 - 30 - 0.85
79 - 33 - 0.835
80 - 28 - 0.86
81 - 29 - 0.855
82 - 30 - 0.85
83 - 42 - 0.79
84 - 66 - 0.67
85 - 45 - 0.775
86 - 31 - 0.845
87 - 43 - 0.785
88 - 37 - 0.815
89 - 49 - 0.755
90 - 43 - 0.785
91 - 40 - 0.8
92 - 38 - 0.81
93 - 28 - 0.86
94 - 23 - 0.885
95 - 40 - 0.8
96 - 55 - 0.725
97 - 35 - 0.825
98 - 38 - 0.81
99 - 35 - 0.825
100 - 44 - 0.78
101 - 27 - 0.865
102 - 24 - 0.88
103 - 13 - 0.935
104 - 33 - 0.835
105 - 39 - 0.805
106 - 37 - 0.815
107 - 31 - 0.845
108 - 32 - 0.84
109 - 36 - 0.82
110 - 48 - 0.76
111 - 48 - 0.76
112 - 51 - 0.745
113 - 52 - 0.74
114 - 30 - 0.85
115 - 37 - 0.815
116 - 25 - 0.875
117 - 25 - 0.875
118 - 25 - 0.875
119 - 38 - 0.81
120 - 31 - 0.845
121 - 27 - 0.865
122 - 29 - 0.855
123 - 38 - 0.81
124 - 43 - 0.785
125 - 37 - 0.815
126 - 47 - 0.765
127 - 34 - 0.83
128 - 47 - 0.765
129 - 36 - 0.82
130 - 28 - 0.86
131 - 24 - 0.88
132 - 34 - 0.83
133 - 32 - 0.84
134 - 30 - 0.85
135 - 21 - 0.895
136 - 21 - 0.895
137 - 25 - 0.875
138 - 41 - 0.795
139 - 37 - 0.815
140 - 37 - 0.815
141 - 35 - 0.825
142 - 40 - 0.8
143 - 31 - 0.845
144 - 35 - 0.825
145 - 36 - 0.82
146 - 44 - 0.78
147 - 37 - 0.815
148 - 42 - 0.79
149 - 31 - 0.845
150 - 28 - 0.86
151 - 42 - 0.79
152 - 27 - 0.865
153 - 26 - 0.87
154 - 31 - 0.845
155 - 25 - 0.875
156 - 41 - 0.795
157 - 35 - 0.825
158 - 26 - 0.87
159 - 31 - 0.845
160 - 28 - 0.86
161 - 22 - 0.89
162 - 28 - 0.86
163 - 43 - 0.785
164 - 32 - 0.84
165 - 20 - 0.9
166 - 18 - 0.91
167 - 25 - 0.875
168 - 14 - 0.93
169 - 39 - 0.805
170 - 43 - 0.785
171 - 54 - 0.73
172 - 45 - 0.775
173 - 32 - 0.84
174 - 36 - 0.82
175 - 33 - 0.835
176 - 36 - 0.82
177 - 27 - 0.865
178 - 24 - 0.88
179 - 18 - 0.91
180 - 33 - 0.835
