### DETECTION RATE IS:       1.0
### NO. DET MALICIOUS USERS: 267
### NO. ALL MALICIOUS USERS: 267
### 
### FALSE POSITIVE RATE IS:           0.030943025
### FALSE POSITIVES (WORST CASE)      0.002946955
### NO. WRONGLY DET USERS             63
### NO. WRONGLY DET USERS (WORST CASE)6
### NO. BENIGN USERS:                 2036
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 42 - 0.79
31 - 32 - 0.84
32 - 18 - 0.91
33 - 20 - 0.9
34 - 24 - 0.88
35 - 29 - 0.855
36 - 26 - 0.87
37 - 25 - 0.875
38 - 24 - 0.88
39 - 17 - 0.915
40 - 30 - 0.85
41 - 12 - 0.94
42 - 33 - 0.835
43 - 37 - 0.815
44 - 41 - 0.795
45 - 29 - 0.855
46 - 18 - 0.91
47 - 28 - 0.86
48 - 17 - 0.915
49 - 14 - 0.93
50 - 16 - 0.92
51 - 15 - 0.925
52 - 24 - 0.88
53 - 19 - 0.905
54 - 6 - 0.97
55 - 16 - 0.92
56 - 30 - 0.85
57 - 21 - 0.895
58 - 18 - 0.91
59 - 12 - 0.94
60 - 15 - 0.925
61 - 42 - 0.79
62 - 42 - 0.79
63 - 32 - 0.84
64 - 25 - 0.875
65 - 27 - 0.865
66 - 31 - 0.845
67 - 23 - 0.885
68 - 17 - 0.915
69 - 22 - 0.89
70 - 14 - 0.93
71 - 12 - 0.94
72 - 18 - 0.91
73 - 26 - 0.87
74 - 19 - 0.905
75 - 17 - 0.915
76 - 23 - 0.885
77 - 13 - 0.935
78 - 20 - 0.9
79 - 7 - 0.965
80 - 18 - 0.91
81 - 25 - 0.875
82 - 17 - 0.915
83 - 9 - 0.955
84 - 17 - 0.915
85 - 37 - 0.815
86 - 23 - 0.885
87 - 17 - 0.915
88 - 8 - 0.96
89 - 17 - 0.915
90 - 20 - 0.9
91 - 17 - 0.915
92 - 20 - 0.9
93 - 30 - 0.85
94 - 10 - 0.95
95 - 16 - 0.92
96 - 19 - 0.905
97 - 4 - 0.98
98 - 15 - 0.925
99 - 22 - 0.89
100 - 16 - 0.92
101 - 8 - 0.96
102 - 18 - 0.91
103 - 9 - 0.955
104 - 9 - 0.955
105 - 16 - 0.92
106 - 15 - 0.925
107 - 17 - 0.915
108 - 10 - 0.95
109 - 11 - 0.945
110 - 18 - 0.91
111 - 7 - 0.965
112 - 16 - 0.92
113 - 20 - 0.9
114 - 31 - 0.845
115 - 8 - 0.96
116 - 19 - 0.905
117 - 16 - 0.92
118 - 7 - 0.965
119 - 20 - 0.9
120 - 21 - 0.895
121 - 22 - 0.89
122 - 22 - 0.89
123 - 16 - 0.92
124 - 7 - 0.965
125 - 4 - 0.98
126 - 5 - 0.975
127 - 23 - 0.885
128 - 6 - 0.97
129 - 9 - 0.955
130 - 12 - 0.94
131 - 14 - 0.93
132 - 11 - 0.945
133 - 7 - 0.965
134 - 4 - 0.98
135 - 0 - 1.0
136 - 2 - 0.99
137 - 4 - 0.98
138 - 16 - 0.92
139 - 7 - 0.965
140 - 5 - 0.975
141 - 5 - 0.975
142 - 13 - 0.935
143 - 10 - 0.95
144 - 2 - 0.99
145 - 8 - 0.96
146 - 4 - 0.98
147 - 14 - 0.93
148 - 2 - 0.99
149 - 14 - 0.93
150 - 10 - 0.95
151 - 8 - 0.96
152 - 15 - 0.925
153 - 12 - 0.94
154 - 6 - 0.97
155 - 13 - 0.935
156 - 8 - 0.96
157 - 6 - 0.97
158 - 3 - 0.985
159 - 6 - 0.97
160 - 9 - 0.955
161 - 6 - 0.97
162 - 2 - 0.99
163 - 0 - 1.0
164 - 0 - 1.0
165 - 1 - 0.995
166 - 4 - 0.98
167 - 9 - 0.955
168 - 1 - 0.995
169 - 11 - 0.945
170 - 7 - 0.965
171 - 6 - 0.97
172 - 7 - 0.965
173 - 6 - 0.97
174 - 8 - 0.96
175 - 3 - 0.985
176 - 6 - 0.97
177 - 5 - 0.975
178 - 5 - 0.975
179 - 12 - 0.94
180 - 8 - 0.96
